child_sku,parent_sku,nama_blend,season,season_universe,kategori,ukuran,grind_size,harga_idr,berat_bersih_g,deskripsi_singkat
S-WIN-143-100-CRS,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-100-MED,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-100-FIN,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-100-XF,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-200-WB,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-200-CRS,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-200-MED,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-200-FIN,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-200-XF,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-500-WB,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-500-CRS,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-500-MED,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-500-FIN,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-500-XF,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-1K-WB,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-1K-CRS,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-1K-MED,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-1K-FIN,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-143-1K-XF,S-WIN-143,Bitter Quarters,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Bali Kint..."
S-WIN-144-100-WB,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-100-CRS,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-100-MED,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-100-FIN,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-100-XF,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-200-WB,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-200-CRS,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-200-MED,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-200-FIN,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-200-XF,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-500-WB,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-500-CRS,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-500-MED,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-500-FIN,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-500-XF,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-1K-WB,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-1K-CRS,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-1K-MED,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-1K-FIN,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-144-1K-XF,S-WIN-144,Ancient Hollow,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Puntang serta Sembalun Rinjani sert..."
S-WIN-145-100-WB,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-100-CRS,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-100-MED,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-100-FIN,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-100-XF,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-200-WB,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-200-CRS,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-200-MED,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-200-FIN,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-200-XF,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-500-WB,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-500-CRS,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-500-MED,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-500-FIN,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-500-XF,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-1K-WB,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-1K-CRS,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-1K-MED,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-1K-FIN,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-145-1K-XF,S-WIN-145,Forgotten Rampart,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Sembalun Rinjani sert..."
S-WIN-146-100-WB,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-100-CRS,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-100-MED,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-100-FIN,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-100-XF,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-200-WB,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-200-CRS,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-200-MED,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-200-FIN,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-200-XF,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-500-WB,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-500-CRS,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-500-MED,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-500-FIN,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-500-XF,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-1K-WB,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-1K-CRS,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-1K-MED,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-1K-FIN,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-146-1K-XF,S-WIN-146,Silent Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Arjuno serta Lampung Robusta Premium serta Jav..."
S-WIN-147-100-WB,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-100-CRS,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-100-MED,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-100-FIN,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-100-XF,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-200-WB,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-200-CRS,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-200-MED,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-200-FIN,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-200-XF,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-500-WB,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-500-CRS,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-500-MED,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-500-FIN,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-500-XF,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-1K-WB,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-1K-CRS,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-1K-MED,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-1K-FIN,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-147-1K-XF,S-WIN-147,Hushed Shelter,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Preanger dalam sebua..."
S-WIN-148-100-WB,S-WIN-148,Smoldering Citadel,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Temanggung serta Arjuno dalam sebuah kom..."
S-WIN-148-100-CRS,S-WIN-148,Smoldering Citadel,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Temanggung serta Arjuno dalam sebuah kom..."
S-WIN-148-100-MED,S-WIN-148,Smoldering Citadel,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Temanggung serta Arjuno dalam sebuah kom..."
S-WIN-148-100-FIN,S-WIN-148,Smoldering Citadel,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Temanggung serta Arjuno dalam sebuah kom..."
S-WIN-148-100-XF,S-WIN-148,Smoldering Citadel,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Temanggung serta Arjuno dalam sebuah kom..."
S-WIN-148-200-WB,S-WIN-148,Smoldering Citadel,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Temanggung serta Arjuno dalam sebuah kom..."
S-WIN-148-200-CRS,S-WIN-148,Smoldering Citadel,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Temanggung serta Arjuno dalam sebuah kom..."
S-WIN-148-200-MED,S-WIN-148,Smoldering Citadel,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Temanggung serta Arjuno dalam sebuah kom..."
